unitid,name,city,state,region,type,setting,undergraduate_enrollment,acceptance_rate,latitude,longitude,top_majors,graduation_rate,retention_rate,student_faculty_ratio,tuition_in_state,tuition_out_state,net_price,average_aid,debt_median,median_earnings,repayment_rate,housing_available,sports_division,greek_life_rate,culture_tags,source_name,source_year,data_version,imported_at,refreshed_at
110680,University of California-San Diego,La Jolla,CA,West,Public,Urban,33787,0.2452,32.877749,-117.235866,Engineering|Psychology|Social Sciences,0.8763,0.9392,19.0,15265,46042,11750,20782,15500,84943,0.8207,true,DII,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
110705,University of California-Santa Barbara,Santa Barbara,CA,West,Public,Suburban,23205,0.2778,34.416297,-119.846426,Mathematics|Psychology|Social Sciences,0.8564,0.9191,17.0,14965,45742,13825,20389,13993,74915,0.7459,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
122409,San Diego State University,San Diego,CA,West,Public,Urban,33654,0.3444,32.775250,-117.071228,Business|Psychology|Social Sciences,0.7827,0.9032,27.0,8290,20170,16174,9934,15000,64909,0.6623,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
123961,University of Southern California,Los Angeles,CA,West,Private,Urban,20817,0.1002,34.021281,-118.284169,Business|Social Sciences|Visual and Performing Arts,0.9199,0.9650,9.0,68237,68237,31927,45262,18000,92498,0.8020,true,DI,,large|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
126614,University of Colorado Boulder,Boulder,CO,Mountain,Public,Urban,30707,0.8328,40.008781,-105.270823,Business|Communications|Engineering,0.7503,0.8915,19.0,16430,41943,21480,10477,19500,69738,0.7375,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
129242,Fairfield University,Fairfield,CT,Northeast,Private,Suburban,4938,0.4498,41.157673,-73.255903,Business|Communications|Health Professions,0.8379,0.8973,12.0,56360,56360,46274,25279,26000,88794,0.8162,true,DI,,private-nonprofit|small|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
130794,Yale University,New Haven,CT,Northeast,Private,Urban,6811,0.0450,41.311158,-72.926688,Computer Science|Mathematics|Social Sciences,0.9633,0.9897,5.0,64700,64700,27818,63523,12975,100533,0.8607,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
131496,Georgetown University,Washington,DC,South,Private,Urban,7462,0.1308,38.908809,-77.073463,Business|Legal Studies|Social Sciences,0.9430,0.9714,11.0,65081,65081,39433,45949,15500,103494,0.8819,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
132903,University of Central Florida,Orlando,FL,South,Public,Suburban,59095,0.3952,28.602159,-81.200889,Business|Health Professions|Psychology,0.7515,0.9216,28.0,6368,22467,10650,9986,18190,58308,0.5895,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
133650,Florida Agricultural and Mechanical University,Tallahassee,FL,South,Public,Urban,7516,0.2112,30.428504,-84.290226,Business|Health Professions|Psychology,0.5194,0.8632,14.0,5785,17725,15847,12191,23548,44349,0.3422,true,DI,,mid-size|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
133951,Florida International University,Miami,FL,South,Public,Suburban,38761,0.5884,25.757320,-80.373928,Business|Computer Science|Psychology,0.7387,0.9161,24.0,6565,18963,9133,11087,16500,60249,0.5365,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
134097,Florida State University,Tallahassee,FL,South,Public,Urban,31812,0.2538,30.443147,-84.295064,Business|Health Professions|Social Sciences,0.8299,0.9564,17.0,5656,18786,10997,10169,18000,61675,0.6299,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
134130,University of Florida,Gainesville,FL,South,Public,Urban,34102,0.2403,29.646290,-82.347911,Business|Engineering|Social Sciences,0.9151,0.9709,16.0,6381,28659,6351,10555,15000,71588,0.6880,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
135726,University of Miami,Coral Gables,FL,South,Private,Suburban,12570,0.1851,25.721260,-80.278662,Business|Health Professions|Social Sciences,0.8423,0.9215,11.0,59926,59926,36803,37322,17500,75328,0.7334,true,DI,,mid-size|private-nonprofit|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
137351,University of South Florida,Tampa,FL,South,Public,Urban,36299,0.4096,28.061458,-82.413232,Business|Health Professions|Social Sciences,0.7458,0.9144,22.0,6410,17324,10043,11066,17988,57743,0.5749,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
139658,Emory University,Atlanta,GA,South,Private,Urban,7275,0.1110,33.790183,-84.325512,Business|Health Professions|Social Sciences,0.9176,0.9617,10.0,60774,60774,23911,48914,18250,80137,0.7968,true,DIII,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
139755,Georgia Institute of Technology-Main Campus,Atlanta,GA,South,Public,Urban,18260,0.1646,33.772420,-84.394832,Business|Computer Science|Engineering,0.9228,0.9774,17.0,11764,32876,13289,13992,21672,102772,0.8472,true,DI,,mid-size|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
139959,University of Georgia,Athens,GA,South,Public,Urban,31310,0.3720,33.956262,-83.374039,Business|Communications|Psychology,0.8805,0.9454,17.0,11180,30220,13816,11559,18500,68726,0.6802,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
144050,University of Chicago,Chicago,IL,Midwest,Private,Urban,7540,0.0479,41.787994,-87.599539,Computer Science|Mathematics|Social Sciences,0.9491,0.9942,5.0,66939,66939,18967,48422,15000,91885,0.8724,true,DIII,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
145637,University of Illinois Urbana-Champaign,Champaign,IL,Midwest,Public,Urban,34623,0.4369,40.104718,-88.229114,Business|Computer Science|Engineering,0.8489,0.9432,20.0,16004,34501,15201,16552,19500,81054,0.7885,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
147767,Northwestern University,Evanston,IL,Midwest,Private,Urban,8960,0.0715,42.050356,-87.679858,Communications|Engineering|Social Sciences,0.9589,0.9744,6.0,65997,65997,27143,61716,15000,89363,0.8702,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
151351,Indiana University-Bloomington,Bloomington,IN,Midwest,Public,Urban,36571,0.8037,39.166090,-86.526559,Business|Communications|Humanities,0.8117,0.9055,18.0,11790,40482,15342,10336,19509,63742,0.7159,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
152080,University of Notre Dame,Notre Dame,IN,Midwest,Private,Suburban,8923,0.1238,41.703058,-86.238959,Business|Engineering|Social Sciences,0.9683,0.9818,8.0,62693,62693,27823,49859,19000,99980,0.9330,true,DI,,mid-size|private-nonprofit|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
159391,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,South,Public,Urban,29207,0.7400,30.414986,-91.178921,Business|Education|Engineering,0.7096,0.8401,21.0,11954,28631,20015,12374,20500,61251,0.7236,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
160621,Southern University and A & M College,Baton Rouge,LA,South,Public,Urban,5323,0.4987,30.524558,-91.190105,Business|Criminal Justice|Health Professions,0.2845,0.6035,21.0,9940,17198,19740,7514,29251,43371,0.5325,true,DI,,mid-size|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
160755,Tulane University of Louisiana,New Orleans,LA,South,Private,Urban,7759,0.1459,29.940069,-90.122144,Business|Psychology|Social Sciences,0.8891,0.9441,7.0,65538,65538,43939,30747,20500,63268,0.7080,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
162928,Johns Hopkins University,Baltimore,MD,South,Private,Urban,5617,0.0756,39.328977,-76.621595,Computer Science|Engineering|Social Sciences,0.9463,0.9786,6.0,63340,63340,18161,54405,10250,87555,0.8223,true,DIII,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
163286,University of Maryland-College Park,College Park,MD,South,Public,Suburban,30246,0.4484,38.988178,-76.944721,Business|Computer Science|Social Sciences,0.8862,0.9566,17.0,11505,40306,15590,11232,19000,82860,0.7940,true,DI,,large|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
164924,Boston College,Chestnut Hill,MA,Northeast,Private,Urban,9865,0.1565,42.336213,-71.169242,Business|Psychology|Social Sciences,0.9099,0.9537,10.0,67680,67680,39866,49992,19000,103937,0.9074,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
164988,Boston University,Boston,MA,Northeast,Private,Urban,17850,0.1085,42.351118,-71.107942,Business|Communications|Social Sciences,0.8997,0.9451,10.0,65168,65168,26996,51565,23250,83238,0.8220,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
166027,Harvard University,Cambridge,MA,Northeast,Private,Urban,7755,0.0345,42.374471,-71.118313,Computer Science|Mathematics|Social Sciences,0.9733,0.9860,7.0,59076,59076,16816,61801,14000,101817,0.7071,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
166683,Massachusetts Institute of Technology,Cambridge,MA,Northeast,Private,Urban,4571,0.0480,42.359243,-71.093226,Computer Science|Engineering|Mathematics,0.9608,0.9903,3.0,60156,60156,19813,45591,14768,143372,0.9182,true,DIII,,private-nonprofit|small|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
167358,Northeastern University,Boston,MA,Northeast,Private,Urban,15719,0.0565,42.339992,-71.088782,Business|Computer Science|Engineering,0.9038,0.9752,16.0,63141,63141,32116,42331,24250,92538,0.7869,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
168148,Tufts University,Medford,MA,Northeast,Private,Suburban,6804,0.1013,42.408550,-71.118293,Computer Science|Engineering|Social Sciences,0.9333,0.9592,10.0,67844,67844,35435,51613,16250,83214,0.9137,true,DIII,,mid-size|private-nonprofit|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
170976,University of Michigan-Ann Arbor,Ann Arbor,MI,Midwest,Public,Urban,33488,0.1794,42.278374,-83.734810,Computer Science|Engineering|Social Sciences,0.9322,0.9764,11.0,17228,58072,14832,15121,19500,83648,0.7910,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
171100,Michigan State University,East Lansing,MI,Midwest,Public,Urban,40243,0.8392,42.732120,-84.476111,Business|Communications|Engineering,0.8217,0.9140,17.0,15988,43372,20751,8684,23250,67253,0.6728,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
174066,University of Minnesota-Twin Cities,Minneapolis,MN,Midwest,Public,Urban,30469,0.7703,44.972851,-93.235464,Business|Computer Science|Engineering,0.8482,0.9086,17.0,16488,36402,17139,11388,19500,69020,0.7470,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
176053,Mississippi Christian University,Clinton,MS,South,Private,Suburban,2423,0.4887,32.335515,-90.329821,Business|Health Professions|Psychology,0.6281,0.8027,14.0,21698,21698,20911,16904,22500,47485,0.6003,true,DII,,private-nonprofit|small|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
179867,Washington University in St Louis,St. Louis,MO,Midwest,Private,Suburban,7897,0.1196,38.647929,-90.310604,Business|Engineering|Social Sciences,0.9445,0.9590,7.0,62982,62982,22117,58188,17500,86182,0.8788,true,DIII,,mid-size|private-nonprofit|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
182670,Dartmouth College,Hanover,NH,Northeast,Private,Town,4367,0.0623,43.704115,-72.289949,Computer Science|Engineering|Social Sciences,0.9596,0.9778,7.0,65739,65739,28619,62293,17500,97434,0.8681,true,DI,,private-nonprofit|small|town,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
186131,Princeton University,Princeton,NJ,Northeast,Private,Urban,5579,0.0450,40.348732,-74.659365,Computer Science|Engineering|Social Sciences,0.9709,0.9733,5.0,59710,59710,10555,59792,10320,110066,0.8639,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
186380,Rutgers University-New Brunswick,New Brunswick,NJ,Northeast,Public,Urban,36357,0.6535,40.498769,-74.446251,Business|Computer Science|Health Professions,0.8503,0.9263,16.0,17239,36001,23519,12785,21500,74479,0.6969,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
190150,Columbia University in the City of New York,New York,NY,Northeast,Private,Urban,8899,0.0423,40.808286,-73.961885,Computer Science|Engineering|Social Sciences,0.9496,0.9718,6.0,69045,69045,20148,61061,21500,102491,0.7605,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
190415,Cornell University,Ithaca,NY,Northeast,Private,Urban,15935,0.0816,42.447200,-76.483084,Business|Computer Science|Engineering,0.9514,0.9782,9.0,66014,66014,32337,54219,14000,104043,0.8747,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
193900,New York University,New York,NY,Northeast,Private,Urban,29430,0.0941,40.729452,-73.997264,Business|Social Sciences|Visual and Performing Arts,0.8846,0.9550,8.0,60438,60438,35035,47096,20500,82509,0.7646,true,DIII,,large|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
198419,Duke University,Durham,NC,South,Private,Urban,6417,0.0678,36.001135,-78.937624,Computer Science|Engineering|Social Sciences,0.9583,0.9616,5.0,65805,65805,34454,57444,13000,97800,0.8888,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
199120,University of North Carolina at Chapel Hill,Chapel Hill,NC,South,Public,Urban,20556,0.1874,35.911769,-79.050969,Business|Computer Science|Social Sciences,0.9207,0.9715,15.0,8989,39330,12983,18066,14000,72200,0.8061,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
199847,Wake Forest University,Winston-Salem,NC,South,Private,Urban,5471,0.2156,36.133609,-80.277446,Business|Communications|Social Sciences,0.9087,0.9467,10.0,64758,64758,28746,54233,21500,78158,0.8817,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
201885,University of Cincinnati-Main Campus,Cincinnati,OH,Midwest,Public,Urban,29123,0.8767,39.131159,-84.514280,Business|Engineering|Health Professions,0.7155,0.8574,19.0,13570,30582,23156,8733,21250,54810,0.5712,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
204796,Ohio State University-Main Campus,Columbus,OH,Midwest,Public,Urban,44617,0.5082,39.999803,-83.007525,Business|Engineering|Health Professions,0.8773,0.9412,16.0,12859,38365,18292,10993,19976,60409,0.6282,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
209542,Oregon State University,Corvallis,OR,West,Public,Urban,29557,0.7885,44.563950,-123.274723,Business|Computer Science|Engineering,0.7063,0.8747,18.0,13494,35664,19568,9260,21221,64010,0.6664,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
211440,Carnegie Mellon University,Pittsburgh,PA,Northeast,Private,Urban,7187,0.1140,40.443570,-79.941993,Computer Science|Engineering|Mathematics,0.9252,0.9701,5.0,63829,63829,31671,43966,21750,114862,0.9118,true,DIII,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
213543,Lehigh University,Bethlehem,PA,Northeast,Private,Urban,5803,0.2926,40.606822,-75.380236,Business|Computer Science|Engineering,0.8921,0.9271,10.0,62180,62180,33549,44116,21960,105584,0.8838,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
214777,Pennsylvania State University-Main Campus,University Park,PA,Northeast,Public,Urban,41862,0.5422,40.796500,-77.862848,Business|Computer Science|Engineering,0.8568,0.9195,16.0,20234,40188,32606,10066,,,0.6792,true,,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
215062,University of Pennsylvania,Philadelphia,PA,Northeast,Private,Urban,10768,0.0587,39.950929,-75.193910,Computer Science|Health Professions|Social Sciences,0.9681,0.9810,8.0,66104,66104,31229,57175,15715,111371,0.8442,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
216597,Villanova University,Villanova,PA,Northeast,Private,Suburban,7005,0.2512,40.036463,-75.340502,Business|Engineering|Social Sciences,0.9241,0.9501,10.0,64701,64701,44876,42834,25874,100423,0.8993,true,DI,,mid-size|private-nonprofit|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
217156,Brown University,Providence,RI,Northeast,Private,Urban,7273,0.0523,41.826170,-71.403850,Computer Science|Mathematics|Social Sciences,0.9571,0.9866,6.0,68230,68230,26572,55847,11428,93487,0.8700,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
218663,University of South Carolina-Columbia,Columbia,SC,South,Public,Urban,28113,0.6149,33.996788,-81.026935,Business|Communications|Health Professions,0.7775,0.9074,19.0,12688,34934,24532,6880,21500,62177,0.6678,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
221759,The University of Tennessee-Knoxville,Knoxville,TN,South,Public,Urban,28763,0.4599,35.952082,-83.925852,Business|Engineering|Health Professions,0.7350,0.9108,18.0,13484,31974,18109,10593,20500,60249,0.6843,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
221999,Vanderbilt University,Nashville,TN,South,Private,Urban,7143,0.0628,36.146590,-86.803369,Computer Science|Engineering|Social Sciences,0.9269,0.9641,8.0,63946,63946,19040,53932,14000,91565,0.8355,true,DI,,mid-size|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
225511,University of Houston,Houston,TX,South,Public,Urban,37175,0.6953,29.720393,-95.343537,Business|Computer Science|Psychology,0.6492,0.8644,22.0,9711,22191,13853,11457,18194,62377,0.6190,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
227216,University of North Texas,Denton,TX,South,Public,Urban,33680,0.7246,33.211178,-97.148422,Business|Psychology|Visual and Performing Arts,0.5957,0.7696,25.0,11164,21244,14352,9159,19250,57010,0.5486,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
227368,The University of Texas Rio Grande Valley,Edinburg,TX,South,Public,Urban,27026,0.8482,26.306759,-98.173567,Business|Health Professions|Psychology,0.4927,0.7891,20.0,9859,19939,6500,9938,12950,49620,0.5069,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
227757,Rice University,Houston,TX,South,Private,Urban,4562,0.0788,29.717897,-95.402035,Computer Science|Engineering|Social Sciences,0.9569,0.9758,6.0,58128,58128,12640,51955,11000,89718,0.8717,true,DI,,private-nonprofit|small|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
228459,Texas State University,San Marcos,TX,South,Public,Urban,34547,0.8948,29.888885,-97.943029,Business|Communications|Visual and Performing Arts,0.5617,0.7751,21.0,11450,23210,16438,11791,21000,56906,0.5705,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
228723,Texas A&M University-College Station,College Station,TX,South,Public,Urban,59099,0.6325,30.618726,-96.336475,Agriculture|Business|Engineering,0.8378,0.9425,20.0,13099,40328,20924,12278,17804,72097,0.8173,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
228769,The University of Texas at Arlington,Arlington,TX,South,Public,Urban,30834,0.8129,32.729718,-97.112960,Business|Engineering|Health Professions,0.5652,0.7288,23.0,11728,29660,15235,11370,17527,63199,0.5752,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
228778,The University of Texas at Austin,Austin,TX,South,Public,Urban,42100,0.2912,30.282825,-97.738273,Business|Communications|Engineering,0.8764,0.9612,18.0,11678,42778,19678,8321,20500,75121,0.7677,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
229027,The University of Texas at San Antonio,San Antonio,TX,South,Public,Urban,29675,0.8846,29.583709,-98.620657,Business|Computer Science|Psychology,0.5119,0.7940,24.0,8991,21965,11234,8934,20500,57131,0.5474,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
229115,Texas Tech University,Lubbock,TX,South,Public,Urban,32446,0.7089,33.583448,-101.874783,Business|Communications|Engineering,0.6749,0.8487,20.0,11852,24451,20071,9359,21500,62454,0.6510,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
230038,Brigham Young University,Provo,UT,Mountain,Private,Urban,32221,0.6919,40.250851,-111.649281,Business|Computer Science|Engineering,0.8221,0.8905,21.0,6496,6496,14487,6325,11069,75790,0.8001,true,DI,,large|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
231624,William & Mary,Williamsburg,VA,South,Public,Suburban,6949,0.3272,37.269489,-76.708214,Business|Psychology|Social Sciences,0.9101,0.9463,12.0,25040,49412,22529,15134,18500,73490,0.8328,true,DI,,mid-size|public|suburban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
232557,Liberty University,Lynchburg,VA,South,Private,Urban,50242,0.9932,37.350232,-79.182220,Business|Education|Psychology,0.6348,0.7881,18.0,21222,21222,29552,12471,24500,44813,0.3670,true,DI,,large|private-nonprofit|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
233921,Virginia Polytechnic Institute and State University,Blacksburg,VA,South,Public,Urban,30435,0.5703,37.229012,-80.423675,Business|Engineering|Social Sciences,0.8628,0.9179,17.0,15478,36694,23790,7649,21500,81698,0.8050,true,DI,,large|public|urban,public_college_snapshot,2023,scorecard-2023.2,2026-09-13T00:11:16Z,
